_id,ltable_id,rtable_id,gold,ltable_title,ltable_authors,rtable_title,rtable_authors,similarity
378,l1031,r202,1,"Yan Zhao, Laks V. S. Lakshmanan, Jian Pei",socqet: semantic olap with compressed cube and summarization,socqet: semantic olap with compressed cube and summarization,"Laks V. S. Lakshmanan, Jian Pei, Yan Zhao",1.0
392,l1368,r580,1,"Gautam Das, Surajit Chaudhuri, Brian Babcock",dynamic sample selection for approximate query processing,dynamic sample selection for approximate query processing,"Brian Babcock, Surajit Chaudhuri, Gautam Das",1.0
408,l973,r1789,1,"Michael J. Franklin, Mehmet Altinel",efficient filtering of xml documents for selective dissemination of information,efficient filtering of xml documents for selective dissemination of information,"Mehmet Altinel, Michael J. Franklin",1.0
416,l284,r1264,1,"Pavel Zezula, Paolo Ciaccia, Paolo Tiberio",declustering of key-based partitioned signature files,declustering of key-based partitioned signature files,"Paolo Ciaccia, Paolo Tiberio, Pavel Zezula",1.0
420,l834,r883,1,"Ashraf Aboulnaga, Jeffrey F. Naughton, Alaa R. Alameldeen",estimating the selectivity of xml path expressions for internet scale applications,estimating the selectivity of xml path expressions for internet scale applications,"Ashraf Aboulnaga, Alaa R. Alameldeen, Jeffrey F. Naughton",1.0
421,l746,r301,1,Andreas Meier,providing database migration tools - a practicioner's approach,providing database migration tools - a practicioner's approach,Andreas Meier,1.0
316,l1787,r1702,1,"Mary Tork Roth, Laura M. Haas, Fatma Ozcan",cost models do matter: providing cost information for diverse data sources in a federated system,cost models do matter: providing cost information for diverse data sources in a federated system,"Mary Tork Roth, Fatma Ozcan, Laura M. Haas",1.0
227,l25,r710,1,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen",extending practical pre-aggregation in on-line analytical processing,extending practical pre-aggregation in on-line analytical processing,"Torben Bach Pedersen, Christian S. Jensen, Curtis E. Dyreson",1.0
203,l825,r990,1,"Nandit Soparkar, Krithi Ramamritham",report on dart '96: databases: active and real-time (concepts meet practice),report on dart '96: databases: active and real-time (concepts meet practice),"Krithi Ramamritham, Nandit Soparkar",1.0
207,l1144,r1243,1,"Jun Rao, Kenneth A. Ross",reusing invariants: a new strategy for correlated queries,reusing invariants: a new strategy for correlated queries,"Jun Rao, Kenneth A. Ross",1.0
16,l165,r1118,1,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",cache-and-query for wide area sensor databases,cache-and-query for wide area sensor databases,"Amol Deshpande, Suman Nath, Phillip B. Gibbons, Srinivasan Seshan",1.0
26,l649,r1366,1,"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri",random sampling for histogram construction: how much is enough?,random sampling for histogram construction: how much is enough?,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",1.0
27,l211,r1490,1,"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",bess: storage support for interactive visualization systems,bess: storage support for interactive visualization systems,"A. Biliris, T. A. Funkhouser, W. O'Connell, E. Panagos",1.0
28,l734,r384,1,"John M. Tyler, Kosmas Karadimitriou",min-max compression methods for medical image databases,min-max compression methods for medical image databases,"Kosmas Karadimitriou, John M. Tyler",1.0
38,l1080,r1762,1,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",a query language for a web-site management system,a query language for a web-site management system,"Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",1.0
42,l1445,r768,1,"Ashok Joshi, Ron Weiss, Amit Ganesh, Tirthankar Lahiri",fast-start: quick fault recovery in oracle,fast-start: quick fault recovery in oracle,"Tirthankar Lahiri, Amit Ganesh, Ron Weiss, Ashok Joshi",1.0
46,l189,r1561,1,Hans-Jrg Schek,"panel: future directions of database research - the vldb broadening strategy, part 1","panel: future directions of database research - the vldb broadening strategy, part 1",Hans-Jörg Schek,1.0
53,l1731,r1199,1,"H. V. Jagadish, Christos Faloutsos, Flip Korn",efficiently supporting ad hoc queries in large datasets of time sequences,efficiently supporting ad hoc queries in large datasets of time sequences,"Flip Korn, H. V. Jagadish, Christos Faloutsos",1.0
55,l150,r606,1,Peter Z. Revesz,safe query languages for constraint databases,safe query languages for constraint databases,Peter Z. Revesz,1.0
61,l1442,r190,1,"A. Prasad Sistla, Robert H. Sloan, Yelena Yesha, Ouri Wolfson",towards a theory of cost management for digital libraries and electronic commerce,towards a theory of cost management for digital libraries and electronic commerce,"A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan",1.0
62,l54,r59,1,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",dynamic buffer allocation in video-on-demand systems,dynamic buffer allocation in video-on-demand systems,"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",1.0
64,l288,r889,1,"Farnoush Banaei Kashani, Jabed Faruque, Adil Faisal, Cyrus Shahabi",insite: a tool for interpreting users? interaction with a web space,insite: a tool for interpreting users? interaction with a web space,"Cyrus Shahabi, Adil Faisal, Farnoush Banaei Kashani, Jabed Faruque",1.0
68,l605,r1246,1,"Yannis E. Ioannidis, Minos N. Garofalakis",parallel query scheduling and optimization with time- and space-shared resources,parallel query scheduling and optimization with time- and space-shared resources,"Minos N. Garofalakis, Yannis E. Ioannidis",1.0
74,l262,r279,1,Dan Suciu,distributed query evaluation on semistructured data,distributed query evaluation on semistructured data,Dan Suciu,1.0
79,l202,r989,1,zgr Ulusoy,an annotated bibliography on real-time database systems,an annotated bibliography on real-time database systems,Özgür Ulusoy,1.0
106,l610,r1760,1,"John A. Miller, Amit P. Sheth, Ismailcem Budak Arpinar, Krys Kochut",research in multi-organizational processes and semantic information brokering at the lsdis lab,research in multi-organizational processes and semantic information brokering at the lsdis lab,"Amit Sheth, John Miller, Krys Kochut, Budak Arpinar",1.0
134,l77,r1283,1,"Ioana Manolescu, Serge Abiteboul, Tova Milo, Angela Bonifati, Gregory Cobena",dynamic xml documents with distribution and replication,dynamic xml documents with distribution and replication,"Serge Abiteboul, Angela Bonifati, Grégory Cobéna, Ioana Manolescu, Tova Milo",1.0
429,l1430,r1444,1,Jeff Richey,condition handling in sql persistent stored modules,condition handling in sql persistent stored modules,Jeff Richey,1.0
198,l833,r4,1,Sridhar Ramaswamy,e.piphany epicenter technology overview,e.piphany epicenter technology overview,Sridhar Ramaswamy,1.0
196,l468,r1154,1,"Deok-Hwan Kim, Ju-Hong Lee, Chin-Wan Chung",multi-dimensional selectivity estimation using compressed histogram information,multi-dimensional selectivity estimation using compressed histogram information,"Ju-Hong Lee, Deok-Hwan Kim, Chin-Wan Chung",1.0
192,l639,r143,1,"Arie Segev, Richard T. Snodgrass, Christian S. Jensen",report on the 1995 international workshop on temporal databases,report on the 1995 international workshop on temporal databases,"Arie Segev, Christian S. Jensen, Richard Thomas Snodgrass",1.0
188,l342,r171,1,"Gio Wiederhold, Abraham Silberschatz, Gerhard Rossbach, Raghu Ramakrishnan, Jaco Zijlstra, Hector Garcia-Molina",scientific journals: extinction or explosion? (panel),scientific journals: extinction or explosion? (panel),"Raghu Ramakrishnan, Hector Garcia-Molina, Gerhard Rossbach, Abraham Silberschatz, Gio Wiederhold, Jaco Zijlstra",1.0
185,l741,r544,1,"Arthur M. Keller, Michael R. Genesereth, Oliver M. Duschka",infomaster: an information integration system,infomaster: an information integration system,"Michael R. Genesereth, Arthur M. Keller, Oliver M. Duschka",1.0
223,l491,r1310,1,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",high-performance sorting on networks of workstations,high-performance sorting on networks of workstations,"Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau, David E. Culler, Joseph M. Hellerstein, David A. Patterson",1.0
164,l160,r1381,1,"Dean Jacobs, Shahram Ghandeharizadeh, Richard Hull",heraclitus: elevating deltas to be first-class citizens in a database programming language,heraclitus: elevating deltas to be first-class citizens in a database programming language,"Shahram Ghandeharizadeh, Richard Hull, Dean Jacobs",1.0
155,l728,r543,1,"Yuri Breitbart, Gerhard Weikum, Radek Vingralek",distributed file organization with scalable cost/performance,distributed file organization with scalable cost/performance,"Radek Vingralek, Yuri Breitbart, Gerhard Weikum",1.0
152,l1163,r1446,1,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",supporting multiple view maintenance policies,supporting multiple view maintenance policies,"Latha S. Colby, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick, Kenneth A. Ross",1.0
146,l180,r248,1,"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",what is the nearest neighbor in high dimensional spaces?,what is the nearest neighbor in high dimensional spaces?,"Alexander Hinneburg, Charu C. Aggarwal, Daniel A. Keim",1.0
139,l1422,r830,1,"Raghu Ramakrishnan, Shaul Dar",a performance study of transitive closure algorithms,a performance study of transitive closure algorithms,"Shaul Dar, Raghu Ramakrishnan",1.0
138,l810,r1252,1,Kenn Gardels,open gis and on-line environmental libraries,open gis and on-line environmental libraries,Kenn Gardels,1.0
136,l114,r1177,1,Jef Wijsen,temporal fds on complex objects,temporal fds on complex objects,Jef Wijsen,1.0
162,l1534,r1726,1,Roberto J. Bayardo Jr.,efficiently mining long patterns from databases,efficiently mining long patterns from databases,"Roberto J. Bayardo, Jr.",1.0
443,l1205,r395,1,"Panos Kalnis, Dimitris Papadias",proxy-server architectures for olap,proxy-server architectures for olap,"Panos Kalnis, Dimitris Papadias",1.0
